date,transaction,withdrawal,deposit,balance
04/01/2019,ATM Point of Sale - HUMBLEBUNDLE.COM,$15.00,,"$5555.55"
04/01/2019,ATM Point of Sale - HUMBLEBUNDLE.COM,$20.00,,"$5555.55"
04/01/2019,ATM Point of Sale - VUDU.COM,$4.21,,"$5555.55"
04/02/2019,ATM Point of Sale - VUDU.COM,$4.21,,"$5555.55"
04/02/2019,ATM Point of Sale - CLIMBING GYM,$47.48,,"$5555.55"
04/02/2019,ATM Point of Sale - HY VEE,$49.40,,"$5555.55"
04/02/2019,RENT,$555.00,,"$5555.55"
04/02/2019,ATM Point of Sale - AUDIBLE,$15.77,,"$5555.55"
04/03/2019,ATM Point of Sale - KWIK TRIP,$37.08,,"$5555.55"
04/04/2019,ATM Point of Sale - HY VEE,$15.81,,"$5555.55"
04/05/2019,ATM Point of Sale - CHIPOTLE, $8.65,,"$5555.55"
04/05/2019,"WORK Total Deposit: 12,345.67",,"$12,345.67","$5555.55"
04/07/2019,ATM Point of Sale - DAISY BURGERS,$30.12,,"$5555.55"
04/07/2019,ATM Point of Sale - HY VEE,$115.71,,"$5555.55"
04/08/2019,ATM Point of Sale - SUBS,$9.00,,"$5555.55"
04/10/2019,AUTO INSURANCE,$55.55,,"$5555.55"
04/11/2019,ATM Point of Sale - KWIK TRIP,$27.69,,"$5555.55"
04/11/2019,ATM Point of Sale - THE MAC SHACK,$23.19,,"$5555.55"
04/13/2019,Google Pay,,$20.00,"$5555.55"
04/13/2019,ATM Point of Sale - GUITAR CENTER,$43.21,,"$5555.55"
04/13/2019,ATM Point of Sale - ANYTIME FITNESS,$22.00,,"$5555.55"
04/14/2019,ATM Point of Sale - DAISY BURGERS,$41.06,,"$5555.55"
04/14/2019,ATM Point of Sale - MINGS,$38.82,,"$5555.55"
04/14/2019,ATM Point of Sale - HY VEE,$77.26,,"$5555.55"
04/15/2019,ATM Point of Sale - NETFLIX.COM,$11.59,,"$5555.55"
04/15/2019,ATM Point of Sale - HY VEE,$18.95,,"$5555.55"
04/15/2019,Utilities,$86.26,,"$5555.55"
04/16/2019,STUDENT LOAN,$34.56,,"$5555.55"
04/17/2019,ATM Point of Sale - MOBIL,$32.95,,"$5555.55"
04/17/2019,ATM Point of Sale - HY VEE,$28.83,,"$5555.55"
04/19/2019,ATM Point of Sale - MONKS,$59.02,,"$5555.55"
04/19/2019,ATM Point of Sale - UTILITIES,$35.12,,"$5555.55"
04/19/2019,"WORK Total Deposit: 12,345.67",,"$12,345.67","$5555.55"
04/20/2019,ATM Point of Sale - HY VEE,$18.97,,"$5555.55"
04/21/2019,ATM Point of Sale - HY VEE,$62.38,,"$5555.55"
04/23/2019,ATM Point of Sale - KWIK TRIP,$37.51,,"$5555.55"
04/27/2019,ATM Point of Sale - ANYTIME FITNESS,$22.00,,"$5555.55"
04/28/2019,ATM Point of Sale - HY VEE,$92.53,,"$5555.55"
